frame_number,time_s,tag,probability,x,y,w,h
5,0.16666666666666666,bee,0.886719,120,32,16,16
5,0.16666666666666666,bee,0.996094,40,48,8,16
5,0.16666666666666666,bee,0.996094,192,152,8,16
5,0.16666666666666666,bee,0.867188,184,184,8,16
10,0.3333333333333333,bee,0.875,120,40,16,8
10,0.3333333333333333,bee,0.996094,32,56,8,16
10,0.3333333333333333,bee,0.996094,192,152,8,16
10,0.3333333333333333,bee,0.980469,168,200,16,8
15,0.5,bee,0.886719,120,40,16,8
15,0.5,bee,0.996094,24,72,16,16
15,0.5,bee,0.996094,192,152,8,16
15,0.5,bee,0.984375,160,208,8,16
20,0.6666666666666666,bee,0.96875,120,32,16,16
20,0.6666666666666666,bee,0.996094,32,88,8,16
20,0.6666666666666666,bee,0.996094,192,152,8,16
20,0.6666666666666666,bee,0.996094,152,216,8,8
25,0.8333333333333334,bee,0.957031,120,32,16,16
25,0.8333333333333334,bee,0.996094,32,96,8,16
25,0.8333333333333334,bee,0.996094,192,152,8,16
25,0.8333333333333334,bee,0.996094,144,216,16,8
30,1.0,bee,0.964844,120,32,16,16
30,1.0,bee,0.996094,32,112,8,16
30,1.0,bee,0.996094,192,152,8,16
30,1.0,bee,0.996094,136,216,8,8
35,1.1666666666666667,bee,0.953125,120,32,16,16
35,1.1666666666666667,bee,0.996094,24,128,8,8
35,1.1666666666666667,bee,0.996094,192,152,8,16
35,1.1666666666666667,bee,0.996094,120,216,8,8
40,1.3333333333333333,bee,0.894531,120,32,16,16
40,1.3333333333333333,bee,0.996094,24,128,8,16
40,1.3333333333333333,bee,0.996094,192,152,8,16
40,1.3333333333333333,bee,0.996094,112,216,16,8
45,1.5,bee,0.921875,120,32,16,16
45,1.5,bee,0.996094,24,120,8,16
45,1.5,bee,0.996094,192,152,8,16
45,1.5,bee,0.738281,112,216,8,8
50,1.6666666666666667,bee,0.957031,120,32,16,16
50,1.6666666666666667,bee,0.996094,24,104,8,16
50,1.6666666666666667,bee,0.996094,192,152,8,16
50,1.6666666666666667,bee,0.996094,104,216,8,8
55,1.8333333333333333,bee,0.890625,120,32,16,16
55,1.8333333333333333,bee,0.996094,24,96,8,16
55,1.8333333333333333,bee,0.996094,192,152,8,16
55,1.8333333333333333,bee,0.757812,104,208,8,16
60,2.0,bee,0.839844,120,40,16,8
60,2.0,bee,0.996094,24,80,8,16
60,2.0,bee,0.996094,192,152,8,16
65,2.1666666666666665,bee,0.9375,120,40,16,8
65,2.1666666666666665,bee,0.996094,24,64,8,16
65,2.1666666666666665,bee,0.996094,192,152,8,16
65,2.1666666666666665,bee,0.90625,80,200,16,8
70,2.3333333333333335,bee,0.925781,120,40,16,8
70,2.3333333333333335,bee,0.996094,24,56,8,16
70,2.3333333333333335,bee,0.996094,192,152,8,16
70,2.3333333333333335,bee,0.996094,80,192,8,16
75,2.5,bee,0.9375,120,40,16,8
75,2.5,bee,0.996094,24,48,16,8
75,2.5,bee,0.996094,192,152,8,16
75,2.5,bee,0.996094,80,192,8,8
80,2.6666666666666665,bee,0.996094,24,32,8,8
