frame_number,time_s,tag,probability,x,y,w,h
5,0.16666666666666666,bee,0.972656,64,8,8,8
5,0.16666666666666666,bee,0.578125,32,16,8,8
5,0.16666666666666666,bee,0.738281,96,16,8,8
5,0.16666666666666666,bee,0.769531,112,16,8,16
5,0.16666666666666666,bee,0.921875,144,16,16,16
5,0.16666666666666666,egg,0.972656,128,24,8,8
5,0.16666666666666666,bee,0.941406,176,24,8,8
5,0.16666666666666666,egg,0.621094,112,32,8,8
5,0.16666666666666666,egg,0.988281,56,40,8,24
5,0.16666666666666666,egg,0.933594,32,48,8,16
5,0.16666666666666666,egg,0.695312,80,48,8,8
5,0.16666666666666666,egg,0.886719,128,56,16,16
5,0.16666666666666666,bee,0.695312,16,64,8,8
5,0.16666666666666666,egg,0.617188,88,64,8,8
5,0.16666666666666666,bee,0.992188,144,64,8,16
5,0.16666666666666666,egg,0.839844,24,72,8,8
5,0.16666666666666666,egg,0.988281,56,80,8,8
5,0.16666666666666666,egg,0.996094,88,88,8,8
5,0.16666666666666666,egg,0.996094,120,88,8,16
5,0.16666666666666666,egg,0.976562,136,88,16,16
5,0.16666666666666666,bee,0.992188,160,88,16,32
5,0.16666666666666666,egg,0.996094,80,104,16,24
5,0.16666666666666666,bee,0.976562,128,104,24,16
5,0.16666666666666666,bee,0.878906,216,112,8,8
5,0.16666666666666666,bee,0.996094,16,120,40,48
5,0.16666666666666666,bee,0.988281,96,120,16,16
5,0.16666666666666666,bee,0.878906,184,120,8,16
5,0.16666666666666666,bee,0.992188,136,128,8,16
5,0.16666666666666666,egg,0.976562,80,136,16,32
5,0.16666666666666666,egg,0.980469,24,144,16,16
5,0.16666666666666666,bee,0.878906,192,144,8,16
5,0.16666666666666666,bee,0.738281,208,144,8,16
5,0.16666666666666666,egg,0.980469,56,152,16,16
5,0.16666666666666666,bee,0.996094,96,152,8,16
5,0.16666666666666666,bee,0.996094,168,152,8,16
5,0.16666666666666666,egg,0.695312,40,176,8,8
5,0.16666666666666666,egg,0.914062,56,184,16,8
5,0.16666666666666666,bee,0.867188,16,192,8,8
5,0.16666666666666666,bee,0.738281,128,192,16,8
5,0.16666666666666666,bee,0.695312,112,208,8,8
10,0.3333333333333333,bee,0.996094,64,8,8,8
10,0.3333333333333333,bee,0.757812,32,16,8,8
10,0.3333333333333333,bee,0.90625,96,16,8,8
10,0.3333333333333333,bee,0.527344,152,16,8,8
10,0.3333333333333333,bee,0.695312,176,16,8,16
10,0.3333333333333333,bee,0.714844,112,24,8,8
10,0.3333333333333333,egg,0.992188,128,24,8,8
10,0.3333333333333333,egg,0.644531,112,32,8,8
10,0.3333333333333333,egg,0.992188,56,40,8,24
10,0.3333333333333333,bee,0.523438,112,40,8,8
10,0.3333333333333333,bee,0.996094,128,40,16,8
10,0.3333333333333333,egg,0.933594,32,48,8,16
10,0.3333333333333333,egg,0.695312,80,48,8,8
10,0.3333333333333333,egg,0.921875,128,56,16,16
10,0.3333333333333333,bee,0.550781,208,56,8,8
10,0.3333333333333333,egg,0.710938,88,64,8,8
10,0.3333333333333333,bee,0.996094,136,64,16,16
10,0.3333333333333333,egg,0.777344,24,72,8,8
10,0.3333333333333333,egg,0.902344,56,80,8,8
10,0.3333333333333333,egg,0.996094,120,80,8,24
10,0.3333333333333333,egg,0.988281,88,88,8,8
10,0.3333333333333333,egg,0.945312,136,88,16,16
10,0.3333333333333333,bee,0.996094,160,96,16,24
10,0.3333333333333333,egg,0.996094,80,104,16,24
10,0.3333333333333333,bee,0.964844,128,104,8,16
10,0.3333333333333333,bee,0.992188,184,104,8,32
10,0.3333333333333333,egg,0.75,88,136,8,16
10,0.3333333333333333,bee,0.921875,128,136,8,16
10,0.3333333333333333,egg,0.980469,24,144,16,16
10,0.3333333333333333,bee,0.90625,208,152,8,8
10,0.3333333333333333,bee,0.992188,168,160,8,8
10,0.3333333333333333,bee,0.675781,184,160,8,8
10,0.3333333333333333,egg,0.550781,40,176,8,8
10,0.3333333333333333,egg,0.898438,56,184,16,8
10,0.3333333333333333,bee,0.757812,16,192,8,8
10,0.3333333333333333,bee,0.757812,128,192,16,8
10,0.3333333333333333,bee,0.777344,104,208,8,8
15,0.5,bee,0.996094,64,8,16,8
15,0.5,bee,0.898438,96,16,8,8
15,0.5,bee,0.6875,112,16,8,16
15,0.5,bee,0.972656,32,24,16,24
15,0.5,egg,0.976562,120,24,8,16
15,0.5,bee,0.855469,176,24,8,8
15,0.5,egg,0.988281,56,40,8,24
15,0.5,egg,0.972656,32,48,8,16
15,0.5,egg,0.671875,80,48,8,8
15,0.5,egg,0.953125,120,56,24,24
15,0.5,egg,0.6875,88,64,8,8
15,0.5,bee,0.996094,136,64,16,16
15,0.5,egg,0.839844,24,72,8,8
15,0.5,egg,0.925781,56,80,8,8
15,0.5,bee,0.964844,16,88,16,24
15,0.5,egg,0.988281,88,88,8,8
15,0.5,egg,0.996094,120,88,8,16
15,0.5,egg,0.972656,136,88,16,16
15,0.5,bee,0.996094,160,88,16,24
15,0.5,egg,0.996094,80,104,16,24
15,0.5,bee,0.925781,184,104,8,16
15,0.5,bee,0.996094,184,128,8,8
15,0.5,egg,0.894531,88,136,8,16
15,0.5,egg,0.984375,24,152,16,8
15,0.5,bee,0.855469,184,152,8,16
15,0.5,bee,0.652344,208,152,8,8
15,0.5,bee,0.90625,160,168,16,8
15,0.5,egg,0.695312,40,176,8,8
15,0.5,egg,0.851562,56,184,16,8
15,0.5,bee,0.738281,128,192,16,8
15,0.5,bee,0.792969,104,208,8,8
20,0.6666666666666666,bee,0.980469,64,8,8,8
20,0.6666666666666666,bee,0.675781,32,16,8,8
20,0.6666666666666666,bee,0.9375,96,16,8,8
20,0.6666666666666666,bee,0.878906,112,16,8,16
20,0.6666666666666666,bee,0.972656,160,16,8,16
20,0.6666666666666666,egg,0.839844,120,24,8,16
20,0.6666666666666666,bee,0.9375,24,32,24,16
20,0.6666666666666666,bee,0.71875,8,40,8,8
20,0.6666666666666666,egg,0.972656,56,40,8,24
20,0.6666666666666666,bee,0.972656,128,40,16,8
20,0.6666666666666666,egg,0.957031,32,48,8,16
20,0.6666666666666666,egg,0.621094,80,48,8,8
20,0.6666666666666666,bee,0.695312,16,56,16,8
20,0.6666666666666666,bee,0.664062,40,56,8,8
20,0.6666666666666666,egg,0.996094,120,56,32,48
20,0.6666666666666666,egg,0.667969,88,64,8,8
20,0.6666666666666666,bee,0.984375,136,64,16,16
20,0.6666666666666666,egg,0.882812,24,72,8,8
20,0.6666666666666666,bee,0.9375,16,80,16,16
20,0.6666666666666666,egg,0.726562,56,80,8,8
20,0.6666666666666666,egg,0.851562,88,88,8,8
20,0.6666666666666666,bee,0.996094,160,88,16,24
20,0.6666666666666666,egg,0.996094,80,104,16,24
20,0.6666666666666666,bee,0.9375,128,104,24,16
20,0.6666666666666666,bee,0.960938,184,104,8,8
